Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
American Diabetes Association,To prevent and cure diabetes and to improve the lives of all people affected by diabetes,88,16,0,0,15,8,5.5,16,99.00,73.40,1.00,99.00,16.00,31.25,93.75,43.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,25.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,6.25,6.25,6.25,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,12.50,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,18.75,0.00,18.75,0.00,0.00,12.50,0.00,6.25,0.00,0.00,6.25,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
American Express,We work hard everyday to make american express the world's most respected service brand.,88,14,2,0,13,4,6.285714285714286,14,93.26,98.33,1.06,99.00,14.00,35.71,78.57,28.57,14.29,7.14,0.00,7.14,0.00,0.00,0.00,7.14,7.14,7.14,0.00,0.00,0.00,0.00,7.14,14.29,7.14,0.00,0.00,7.14,7.14,7.14,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,21.43,0.00,7.14,0.00,7.14,7.14,0.00,7.14,0.00,0.00,7.14,7.14,0.00,0.00,0.00,7.14,21.43,7.14,7.14,7.14,0.00,0.00,0.00,14.29,0.00,7.14,0.00,0.00,7.14,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00
American Heart Association,"To build healthier lives, free of cardiovascular diseases and stroke",68,10,1,0,9,3,6.8,10,98.58,50.00,1.00,99.00,10.00,30.00,90.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,10.00,20.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
American Red Cross,prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors,133,21,0,0,21,10,6.333333333333333,21,99.00,82.96,1.00,25.77,21.00,33.33,76.19,47.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,23.81,0.00,0.00,9.52,0.00,4.76,0.00,0.00,0.00,0.00,0.00,9.52,4.76,4.76,0.00,0.00,4.76,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,9.52,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMERICAN UNIVERSITY,"The place of American University among major universities with first-rate faculties and academic programs grounded in the arts and sciences is secured by its enduring commitment to uncompromising quality in the education of its students. But its distinctive feature, unique in higher education, is its capacity as a national and international university to turn ideas into action and action into service by emphasizing the arts and sciences, then connecting them to the issues of contemporary public affairs writ large, notably in the areas of government, communication, business, law, and international service.
Recognized for its emphasis on personalized teaching and experiential education, the university provides for the direct involvement of faculty and students in the institutions and culture of the most important capital city in the world. Since its founding by an Act of Congress in 1893 as a private, independent, coeducational institution, under the auspices of The United Methodist Church, American University has been a national and international university. This is reflected in the scope of its teaching and research programs and the diversity of its faculty, staff, alumni, trustees, and student body, today representing over 135 countries.
The university actively encourages a commitment to public service, inclusive participation in university governance, equity and equal access, and an appreciation of diverse cultures and viewpoints. Its commitment to social justice, its ability to respond to the needs of a changing world while retaining its core values, and its capacity to turn to educational advantage the resources of the nation's capital are hallmarks of the institution.
The university distinguishes itself through a broad array of undergraduate and graduate programs that stem from these primary commitments:
interdisciplinary inquiry transcending traditional boundaries among academic disciplines and between administrative units
international understanding reflected in curriculum offerings, faculty research, study abroad and internship programs, student and faculty representation, and the regular presence of world leaders on campus
interactive teaching providing personalized educational experiences for students, in and out of the classroom
research and creative endeavors consistent with its distinctive mission, generating new knowledge beneficial to society
practical application of knowledge through experiential learning, taking full advantage of the resources of the Washington, D.C., metropolitan area
The central commitment of American University is to the development of thoughtful, responsible human beings in the context of a challenging yet supportive academic community.",2722,384,46,1,359,157,7.088541666666667,386,99.00,67.94,30.12,84.95,48.25,44.30,84.46,41.45,4.66,0.26,0.00,0.00,0.00,0.00,0.26,4.40,9.59,18.13,1.81,0.26,7.51,0.00,3.11,5.44,1.55,0.00,0.78,0.52,3.37,3.37,0.00,0.00,0.00,0.00,5.70,0.00,0.00,0.00,0.00,6.74,2.59,1.30,0.26,0.26,1.81,1.04,0.26,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00,10.88,1.81,2.33,6.22,1.04,0.26,0.26,2.85,0.26,14.51,1.30,11.40,1.81,17.36,0.52,0.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.92,2.59,8.55,0.26,0.00,0.00,0.00,0.26,0.00,0.26,0.00,0.00
AMERICAN UNIVERSITY IN CAIRO,"AUC is a premier English-language institution of higher learning. The University is committed to teaching and research of the highest caliber, and offers exceptional liberal arts and professional education in a cross-cultural environment. AUC builds a culture of leadership, lifelong learning, continuing education and service among its graduates, and is dedicated to making significant contributions to Egypt and the international community in diverse fields. Chartered and accredited in the United States and Egypt, The American University in Cairo is an independent, not-for-profit, equal-opportunity institution. AUC upholds the principles of academic freedom and is dedicated to excellence.",695,96,17,3,81,37,7.239583333333333,101,98.03,65.41,8.78,90.82,20.20,43.56,75.25,39.60,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.99,9.90,13.86,4.95,0.00,8.91,0.99,7.92,5.94,2.97,0.00,0.00,0.99,3.96,3.96,0.00,0.00,0.00,0.00,5.94,0.00,0.00,0.00,0.00,5.94,1.98,1.98,0.00,0.00,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.99,1.98,5.94,1.98,0.00,0.00,4.95,0.00,9.90,0.00,8.91,0.99,16.83,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.83,4.95,6.93,0.00,0.00,0.00,0.00,4.95,0.00,0.00,0.00,0.00
AMERICAN UNIVERSITY OF BEIRUT (AUB),"The American University of Beirut (AUB) is an institution of higher learning founded to provide excellence in education, to participate in the advancement of knowledge through research, and to serve the peoples of the Middle East and beyond. Chartered in New York State in 1863, the university bases its educational philosophy, standards, and practices on the American liberal arts model of higher education. The university believes deeply in and encourages freedom of thought and expression and seeks to foster tolerance and respect for diversity and dialogue. Graduates will be individuals committed to creative and critical thinking, life-long learning, personal integrity, civic responsibility, and leadership.",714,104,16,1,89,41,6.865384615384615,105,99.00,77.69,43.37,95.81,26.25,41.90,80.95,40.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.95,7.62,19.05,2.86,0.95,9.52,0.00,8.57,6.67,2.86,0.00,0.95,0.00,7.62,5.71,0.95,0.00,0.95,0.00,7.62,0.00,0.00,0.00,0.00,8.57,5.71,1.90,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.95,0.00,0.95,10.48,0.95,4.76,5.71,0.95,0.00,0.95,4.76,0.95,14.29,0.95,12.38,0.95,14.29,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.24,3.81,8.57,0.00,0.00,0.00,0.00,0.95,0.00,0.00,1.90,0.00
AmerisourceBergen,To improve patients' lives by delivering innovative products and services that drive quality and efficiency in pharmaceutical care.,131,18,2,0,17,6,7.277777777777778,18,93.26,50.00,23.51,99.00,18.00,50.00,83.33,33.33,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,16.67,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,16.67,11.11,5.56,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00
Amgen,To Serve Patients,17,3,0,0,0,1,5.666666666666667,3,99.00,50.00,1.00,25.77,3.00,33.33,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amnesty International,To undertake research and action focused on preventing and ending grave abuses of these rights,94,15,0,0,14,6,6.266666666666667,15,93.26,50.00,43.37,1.00,15.00,26.67,80.00,40.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,20.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,20.00,6.67,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anthem,"To improve the health of the people we serve. ",46,9,1,0,8,5,5.111111111111111,9,99.00,99.00,1.00,99.00,9.00,11.11,88.89,55.56,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,22.22,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,22.22,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Apple,"Apple designs Macs, the best personal computers in the world, along with OS X, iLife, iWork and professional software. Apple leads the digital music revolution with its iPods and iTunes online store. Apple has reinvented the mobile phone with its revolutionary iPhone and App store, and is defining the future of mobile media and computing devices with iPad.",358,58,8,2,45,20,6.172413793103448,58,96.88,63.49,1.97,58.39,19.33,20.69,68.97,36.21,3.45,0.00,0.00,0.00,0.00,0.00,0.00,3.45,8.62,12.07,3.45,0.00,8.62,0.00,3.45,5.17,1.72,0.00,0.00,0.00,3.45,1.72,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,3.45,1.72,1.72,0.00,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,3.45,6.90,1.72,0.00,0.00,3.45,1.72,6.90,1.72,3.45,1.72,6.90,5.17,0.00,3.45,0.00,0.00,1.72,0.00,1.72,0.00,0.00,0.00,13.79,5.17,8.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Archer Daniels Midland," To Serve Vital Needs ",22,4,0,0,0,1,5.5,4,99.00,50.00,1.00,99.00,4.00,0.00,75.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARIZONA STATE UNIVERSITY,"Demonstrate leadership in academic excellence and accessibility

Maintain the fundamental principle of accessibility to all students qualified to study at a research university
Maintain university accessibility to match Arizona’s socioeconomic diversity
Improve freshmen persistence to 90%
Enhance university graduation rate to 80% and more than 32,000 graduates
Enhance quality while reducing the cost of a degree
Enroll 100,000 online and distance education degree seeking students
Enhance measured student development and individual student learning to national leadership levels
Enhance linkages to the university at all levels for all learners
Establish national standing in academic quality and impact of colleges and schools in every field

Attain national standing in academic quality for each college and school (top 5%)
Attain national standing in the learning value added to our graduates in each college and school
Become the leading university academically (faculty, discovery, research, creativity) in at least one department or school within each college/school
Establish ASU as a leading global center for interdisciplinary research, discovery and development by 2025

Become the leading American center for discovery and scholarship in the integrated social sciences, and comprehensive arts and sciences
Enhance research competitiveness to more than $815 million in annual research expenditures
Transform regional economic competitiveness through research and discovery and value-added programs
Become a leading American center for innovation and entrepreneurship at all levels
Enhance our local impact and social embeddedness

Strengthen Arizona's interactive network of teaching, learning and discovery resources that reflects the scope of ASU's comprehensive knowledge enterprise
Co-develop solutions to the critical social, technical, cultural and environmental issues facing 21st century Arizona
Meet the needs of 21st century learners by empowering families in the education of their children, increasing student success through personalized learning pathways, and promoting a college-going culture in Arizona's K-12 schools
Establish, with Mayo Clinic, innovative health solutions pathways capable of educating 200 million people about health care, engaging 20 million people in online health care delivery, and enhancing treatment for 2 million patients",2378,326,32,2,282,100,7.294478527607362,333,98.71,69.52,46.14,75.85,333.00,47.45,75.68,28.53,1.20,0.90,0.00,0.60,0.00,0.00,0.30,0.30,4.80,15.02,0.90,0.30,6.91,0.00,3.60,4.50,2.10,0.00,5.41,3.90,3.30,3.00,0.30,0.00,0.30,0.00,5.41,0.30,0.00,0.00,0.00,10.81,6.31,2.10,0.30,0.30,1.80,0.90,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,0.00,12.91,2.40,5.71,6.01,2.10,0.00,0.60,2.10,0.30,13.51,2.10,10.21,1.20,20.42,0.60,0.30,0.90,0.00,0.00,0.30,0.00,0.30,0.30,0.00,0.00,9.91,0.00,4.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,1.20,1.50
Art.com,"Art.com is the world's leading online destination for experiencing and buying high-quality wall art. Offering the largest selection of handpicked art images, as well as custom framing, specialty printing, and interactive visualization tools, Art.com helps everyone explore, experiment with and express themselves through artwork‚Äîand have fun doing it. Art.com is forever leading the way art is experienced and consumed‚Äîthrough service, technology and craftsmanship‚Äîto help people find art they love so they can love their spaces more.",540,76,14,0,69,25,7.105263157894737,83,64.73,94.13,9.84,99.00,27.67,33.73,74.70,33.73,7.23,4.82,0.00,0.00,0.00,0.00,4.82,2.41,3.61,7.23,7.23,2.41,9.64,0.00,8.43,7.23,4.82,0.00,0.00,1.20,6.02,6.02,0.00,0.00,0.00,0.00,15.66,0.00,0.00,0.00,0.00,8.43,2.41,3.61,0.00,0.00,2.41,0.00,3.61,1.20,0.00,0.00,3.61,0.00,0.00,0.00,1.20,10.84,6.02,2.41,6.02,0.00,0.00,0.00,8.43,1.20,10.84,3.61,6.02,1.20,3.61,10.84,0.00,1.20,0.00,0.00,1.20,0.00,0.00,0.00,1.20,0.00,16.87,7.23,7.23,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,0.00
Asana,To help humanity thrive by enabling all teams to work together effortlessly.,76,12,1,0,11,4,6.333333333333333,12,99.00,99.00,1.79,25.77,12.00,33.33,91.67,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,16.67,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,25.00,33.33,8.33,0.00,0.00,0.00,8.33,0.00,8.33,0.00,8.33,0.00,25.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asos,To become the number 1 fashion destination for 20-somethings globally.,70,10,2,0,8,3,7.0,11,98.34,50.00,31.94,25.77,11.00,36.36,63.64,45.45,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,18.18,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00
ASPCA,To provide effective means for the prevention of cruelty to animals throughout the United States,96,15,0,0,12,6,6.4,15,99.00,74.76,10.08,1.00,15.00,40.00,80.00,46.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,33.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,13.33,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASTON UNIVERSITY,"Our mission is to be the UK’s leading University for business, enterprise and the professions, where original research has a positive impact on the world around us.",164,27,3,0,24,13,6.074074074074074,27,93.26,93.07,33.94,99.00,27.00,33.33,85.19,55.56,7.41,7.41,0.00,7.41,0.00,0.00,0.00,0.00,14.81,14.81,11.11,7.41,3.70,0.00,11.11,7.41,0.00,3.70,0.00,0.00,7.41,7.41,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,7.41,0.00,3.70,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,7.41,3.70,3.70,3.70,0.00,0.00,11.11,0.00,18.52,3.70,14.81,0.00,18.52,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,3.70,7.41,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00
AT&T,"Connect people with their world, everywhere they live, work and play ‚Ä¶ and do it better than anyone else.",107,19,3,1,17,8,5.631578947368421,19,22.39,85.38,50.35,99.00,19.00,10.53,89.47,52.63,21.05,10.53,0.00,0.00,0.00,0.00,10.53,10.53,0.00,10.53,5.26,5.26,10.53,0.00,10.53,10.53,10.53,0.00,0.00,0.00,10.53,10.53,0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,5.26,5.26,10.53,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,10.53,0.00,10.53,0.00,5.26,0.00,0.00,15.79,0.00,10.53,0.00,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Audi,"We act purposefully, systematically and with our full efforts – in other words, consistently. That is why our mission is “Consistently Audi.”",141,22,4,0,17,11,6.409090909090909,21,18.82,99.00,13.15,25.77,10.50,28.57,66.67,52.38,23.81,14.29,0.00,14.29,0.00,0.00,0.00,9.52,0.00,9.52,9.52,4.76,4.76,0.00,9.52,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,9.52,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.81,14.29,9.52,0.00,0.00,0.00,0.00,9.52,0.00,9.52,0.00,9.52,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,9.52,9.52,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00
Audubon,"To conserve and restore natural ecosystems, focusing on birds, other wildlife, and their habitats for the benefit of humanity and the earth's biological diversity",162,24,4,0,23,11,6.75,24,96.33,66.17,1.79,92.40,24.00,45.83,62.50,45.83,8.33,4.17,0.00,0.00,0.00,0.00,4.17,4.17,8.33,16.67,0.00,0.00,12.50,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00
Avnet,We transform technology into business solutions for customers around the world.,79,11,1,0,10,4,7.181818181818182,11,99.00,96.52,99.00,25.77,11.00,45.45,81.82,45.45,9.09,9.09,0.00,9.09,0.00,0.00,0.00,0.00,9.09,27.27,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,27.27,0.00,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AXA,"Faithful to the original ambition that led it to become the world’s leading insurance brand, AXA Group is committed to creating value while earning the confidence of its Customers every day through innovation and engagement with the world.",239,38,2,1,34,16,6.2894736842105265,38,98.02,70.08,19.27,99.00,38.00,34.21,89.47,44.74,7.89,0.00,0.00,0.00,0.00,0.00,0.00,7.89,10.53,15.79,5.26,0.00,5.26,0.00,10.53,2.63,0.00,0.00,0.00,5.26,15.79,15.79,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,18.42,2.63,7.89,0.00,0.00,7.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,2.63,13.16,7.89,5.26,0.00,2.63,5.26,0.00,13.16,5.26,2.63,5.26,10.53,0.00,0.00,5.26,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.89,2.63,2.63,0.00,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00
Bain & Company,To help our clients create such high levels of economic value that together we set new standards of excellence in our respective industries.,140,23,1,0,22,9,6.086956521739131,23,88.21,99.00,80.16,99.00,23.00,30.43,91.30,39.13,17.39,13.04,0.00,13.04,0.00,0.00,0.00,4.35,0.00,17.39,0.00,4.35,0.00,0.00,4.35,13.04,0.00,0.00,0.00,0.00,13.04,13.04,0.00,0.00,0.00,0.00,21.74,0.00,0.00,0.00,0.00,8.70,0.00,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.43,21.74,4.35,8.70,0.00,0.00,0.00,0.00,0.00,21.74,0.00,17.39,4.35,17.39,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bank of America Corp.,To help improve the financial lives of our customers and clients through the power of every connection.,103,17,1,0,16,8,6.0588235294117645,17,99.00,96.11,1.00,98.87,17.00,35.29,100.00,47.06,5.88,5.88,0.00,5.88,0.00,0.00,0.00,0.00,11.76,23.53,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,23.53,11.76,5.88,11.76,0.00,0.00,0.00,5.88,0.00,5.88,0.00,5.88,0.00,17.65,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BBC,"To enrich people‚Äôs lives with programmes and services that inform, educate and entertain.",91,13,2,0,11,5,7.0,14,83.81,92.33,1.06,99.00,14.00,28.57,78.57,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,14.29,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
